Depth,GR,MUD_VOLUME,TVD
1690.9732,109.138,0.6042,1690.9731
1691.1231,111.1562,0.6394,1691.1229999999996
1691.273,114.4193,0.688,1691.2729
1691.4229,119.8818,0.7795,1691.4229
1691.5728,125.6385,0.7809999999999999,1691.5728
1691.7227,126.0911,0.7764,1691.7227
1691.8726,124.0416,0.7704,1691.8726
1692.0225,122.6155,0.7617,1692.0225
1692.1724,121.3498,0.7509999999999999,1692.1724
1692.3223,119.2267,0.7257,1692.3223
1692.4722,115.7145,0.6574,1692.4722
1692.6221,112.3377,0.5984,1692.6221
1692.7720000000004,113.1976,0.5952,1692.7720000000004
1692.9219,116.2185,0.6229,1692.9219
1693.0718,118.7107,0.6522,1693.0718
1693.2217,119.8523,0.6678,1693.2217
1693.3716,117.4019,0.6329,1693.3716
1693.5215,112.6934,0.5781,1693.5215
1693.6714,107.4755,0.5179,1693.6714
1693.8213,102.4843,0.4643,1693.8213
1693.9712,99.6028,0.4315,1693.9712
1694.1211,98.2363,0.4194,1694.1211
1694.271,98.3086,0.4254,1694.271
1694.4209,98.9274,0.4389,1694.4209
1694.5708,99.3476,0.4509,1694.5708
1694.7207,99.7791,0.4589,1694.7207
1694.8706,100.4638,0.4621,1694.8706
1695.0205,100.8047,0.455,1695.0205
1695.1704,100.0544,0.4342,1695.1704
1695.3203,98.3867,0.4094,1695.3203
1695.4702,96.0691,0.3863,1695.4702
1695.6201,93.536,0.3529,1695.6201
1695.77,91.1091,0.3145,1695.77
1695.9199,88.9228,0.2692,1695.9199
1696.0698,87.1494,0.2415,1696.0698
1696.2197,86.6454,0.2315,1696.2197
1696.3696,88.0032,0.252,1696.3696
1696.5195,89.4757,0.2779,1696.5195
1696.6694,89.3809,0.2824,1696.6694
1696.8193,88.6744,0.2737,1696.8193
1696.9692,88.7646,0.2674,1696.9692
1697.1191,89.815,0.2702,1697.1191
1697.269,91.5513,0.2841,1697.269
1697.4189,93.1022,0.3028,1697.4189
1697.5688,93.6594,0.3112,1697.5688
1697.7187,93.3747,0.3086,1697.7188
1697.8686,92.6041,0.2984,1697.8687
1698.0185,91.8635,0.2935,1698.0186
1698.1684,91.5532,0.307,1698.1685
1698.3183,91.0866,0.3274,1698.3184
1698.4682,89.7669,0.3338,1698.4681
1698.6181,88.2049,0.3327,1698.618
1698.7679999999998,87.3951,0.3274,1698.7679
1698.9179,87.1315,0.318,1698.9178
1699.0678,86.9938,0.3031,1699.0677
1699.2177,85.8011,0.2794,1699.2177
1699.3676,82.2336,0.2475,1699.3676
1699.5175,79.0739,0.2281,1699.5175
1699.6674,81.4178,0.2562,1699.6674
1699.8173,86.8757,0.3117,1699.8173
1699.9672,91.409,0.3538,1699.9672
1700.1171,95.3812,0.3943,1700.1171
1700.267,97.6317,0.4158,1700.267
1700.4169,99.1863,0.4318,1700.4169
1700.5668,100.0002,0.4517,1700.5668
1700.7167,100.0103,0.468,1700.7167
1700.8666,98.2485,0.4593,1700.8666
1701.0165,95.4138,0.4374,1701.0165
1701.1664,93.0655,0.4059,1701.1664
1701.3163,91.1701,0.382,1701.3163
1701.4662,90.8885,0.383,1701.4662
1701.6161,90.8962,0.3916,1701.6161
1701.766,89.5105,0.3824,1701.766
1701.9159,87.566,0.3679,1701.9159
1702.0658,86.9222,0.3665,1702.0658
1702.2157,87.4194,0.3766,1702.2157
1702.3656,89.4632,0.4187,1702.3656
1702.5155,92.5607,0.4681,1702.5155
1702.6654,95.8036,0.5119,1702.6654
1702.8153,98.7058,0.5488,1702.8153
1702.9652,99.9632,0.5673,1702.9652
1703.1151,100.398,0.5745,1703.1151
1703.265,100.4784,0.5720000000000001,1703.265
1703.4149,99.9985,0.5544,1703.4149
1703.5648,99.0656,0.5068,1703.5648
1703.7147,97.9524,0.4567,1703.7147
1703.8646,97.6236,0.4197,1703.8646
1704.0145,98.9771,0.4128,1704.0145
1704.1644,100.1948,0.4183,1704.1644
1704.3143,99.3824,0.4161,1704.3143
1704.4642,98.057,0.41,1704.4642
1704.6141,97.8057,0.3971,1704.6141
1704.764,96.746,0.3744,1704.764
1704.9139,92.9348,0.3361,1704.9139
1705.0638,89.1913,0.4374,1705.0638
1705.2137,88.5168,0.4131,1705.2137
1705.3636,89.4466,0.1359,1705.3636
1705.5135,88.3392,0.1478,1705.5135
1705.6634,86.9258,0.1588,1705.6635
1705.8133,85.5124,0.1877,1705.8134
1705.9632,84.0989,0.3226,1705.9633
1706.1131,82.6855,0.3788,1706.1132
1706.263,81.2721,0.4607,1706.2629
1706.4129,79.8587,0.4492,1706.4128
1706.5628,78.4452,0.4359,1706.5627
1706.7127,77.3852,0.2269,1706.7126
1706.8626,76.3251,0.0718,1706.8625
1707.0125,75.265,0.0592,1707.0125
1707.1624,74.2049,0.0467,1707.1624
1707.3123,73.7338,0.046,1707.3123
1707.4622,73.2627,0.0452,1707.4622
1707.6121,72.7915,0.0416,1707.6121
1707.7620000000004,76.5168,0.0504,1707.7620000000004
1707.9119,74.1778,0.0482,1707.9119
1708.0618,69.6129,0.0388,1708.0618
1708.2117,65.7682,0.0318,1708.2117
1708.3616,64.2246,0.0302,1708.3616
1708.5115,64.7141,0.0329,1708.5115
1708.6614,66.2105,0.0435,1708.6614
1708.8113,67.8361,0.0583,1708.8113
1708.9612,68.9136,0.0696,1708.9612
1709.1111,69.1031,0.0857,1709.1111
1709.261,67.9597,0.0771,1709.261
1709.4109,65.2479,0.0705,1709.4109
1709.5608,61.7304,0.0611,1709.5608
1709.7107,58.673,0.0482,1709.7107
1709.8606,56.9753,0.0357,1709.8606
1710.0105,57.4904,0.035,1710.0105
1710.1604,60.0485,0.0423,1710.1604
1710.3103,63.1732,0.0436,1710.3103
1710.4602,65.1058,0.048,1710.4602
1710.6101,63.5116,0.0411,1710.6101
1710.76,60.1313,0.0396,1710.76
1710.9099,64.8613,0.0659,1710.9099
1711.0598,67.6121,0.0708,1711.0598
1711.2097,69.8999,0.0793,1711.2097
1711.3596,75.7265,0.1078,1711.3596
1711.5095,84.6122,0.1598,1711.5095
1711.6594,93.4842,0.2108,1711.6594
1711.8093,99.3672,0.2525,1711.8093
1711.9592,101.0935,0.5165,1711.9592
1712.1091,98.7727,0.3670000000000001,1712.1091
1712.259,94.4605,0.1933,1712.259
1712.4089,91.8005,0.1666,1712.4089
1712.5588,94.0039,0.1799,1712.5588
1712.7087,101.5658,0.2375,1712.7087
1712.8586,111.3024,0.3837,1712.8586
1713.0085,119.1007,0.4552,1713.0085
1713.1584,122.7581,0.5046,1713.1584
1713.3083,122.8648,0.6299,1713.3083
1713.4582,121.2751,0.8516,1713.4583
1713.6081,119.7281,0.8711,1713.6082
1713.7579999999996,118.8654,0.8781,1713.7581
1713.9079,118.011,0.8567,1713.908
1714.0578,116.6182,0.8143,1714.0577
1714.2077,115.6138,0.7933,1714.2076
1714.3576,116.9551,0.8236,1714.3575
1714.5075,121.5185,0.877,1714.5074
1714.6574,127.1111,0.7035,1714.6573
1714.8073,130.3269,0.7666,1714.8073
1714.9572,130.121,0.8708,1714.9572
1715.1071,128.11700000000002,0.8523,1715.1071
1715.257,126.7388,0.8362,1715.257
1715.4069,127.1493,0.83,1715.4069
1715.5568,128.7393,0.8081,1715.5568
1715.7067,130.3106,0.7788,1715.7067
1715.8566,131.0794,0.8037,1715.8566
1716.0065,130.8574,0.8488,1716.0065
1716.1564,129.8411,0.8865,1716.1564
1716.3063,128.623,0.903,1716.3063
1716.4562,128.1727,0.9108,1716.4562
1716.6061,129.0273,0.9072,1716.6061
1716.756,130.2658,0.899,1716.756
1716.9059,130.1839,0.8901,1716.9059
1717.0558,127.8396,0.873,1717.0558
1717.2057,123.3851,0.8377,1717.2057
1717.3556,119.0021,0.7895,1717.3556
1717.5055,116.9786,0.7526,1717.5055
1717.6554,116.9798,0.7411,1717.6554
1717.8053,118.0638,0.7481,1717.8053
1717.9552,120.7761,0.7761,1717.9552
1718.1051,125.2817,0.8332,1718.1051
1718.255,129.8898,0.8844,1718.255
1718.4049,132.6512,0.916,1718.4049
1718.5548,132.3539,0.9107,1718.5548
1718.7047,129.2035,0.7309,1718.7047
1718.8546,124.2944,0.7937,1718.8546
1719.0045,120.032,0.7383,1719.0045
1719.1544,118.8149,0.7073,1719.1544
1719.3043,118.9289,0.6953,1719.3043
1719.4542,115.2342,0.6755,1719.4542
1719.6041,108.8061,0.6637,1719.6041
1719.754,116.2568,0.7292,1719.754
1719.9039,119.7362,0.7863,1719.9039
1720.0538,117.946,0.8168,1720.0538
1720.2037,116.3106,0.8365,1720.2037
